announcement,title,announcement_time,symbols,token_names,bep20_contract,erc20_contract,bep2_contract,notes
003.html,Binance Will List FC Barcelona Fan Token (BAR) in the Innovation Zone. Purchase BAR Tokens with BNB at a 30% Discount Prior to Trading Using the Launchpad Subscription Format!,2021-04-21 06:00,BAR,['FC Barcelona Fan Token'],[],[],[],
005.html,Binance Will List Mirror Protocol (MIR) in the Innovation Zone,2021-04-19 10:41,MIR,['Mirror Protocol'],['0x5b6dcf557e2abe2323c48445e8cc948910d8c2c9'],['0x09a3ecafa817268f77be1283176b946c4ff2e608'],[],
016.html,Introducing Alien Worlds (TLM) on Binance Launchpool! Farm TLM By Staking BNB & BUSD Tokens,2021-04-06 10:00,TLM,['Alien Worlds'],['0x2222227e22102fe3322098e4cbfe18cfebd57c95'],['0x888888848b652b3e3a0f34c96e00eec0f3a23f72'],[],
019.html,Binance Will List Ellipsis (EPS) and Auto (AUTO) in the Innovation Zone,2021-04-02 07:00,AUTO,['Auto'],['0xa184088a740c695e156f91f5cc086a06bb78b827'],[],[],manually modified
019.html,Binance Will List Ellipsis (EPS) and Auto (AUTO) in the Innovation Zone,2021-04-02 07:00,EPS,['Ellipsis'],['0xa7f552078dcc247c2684336020c03648500c6d9f'],[],[],manually modified
024.html,Introducing the Tokocrypto (TKO) Token Sale on Binance Launchpad!,2021-03-30 10:00,TKO,['Tokocrypto'],['0x9f589e3eabe42ebc94a44727b3f3531c0c877809'],[],[],
025.html,Binance Will List Conflux Network (CFX),2021-03-29 08:54,CFX,['Conflux Token'],['0x045c4324039da91c52c55df5d785385aab073dcf'],[],[],
027.html,Binance Will List SuperFarm (SUPER) in the Innovation Zone,2021-03-25 08:23,SUPER,['SuperFarm'],['0x51ba0b044d96c3abfca52b64d733603ccc4f0d4d'],['0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55'],[],
030.html,Binance Will List RAMP (RAMP) in the Innovation Zone,2021-03-22 06:56,RAMP,['RAMP'],['0x8519ea49c997f50ceffa444d240fb655e89248aa'],['0x33d0568941c0c64ff7e0fb4fba0b11bd37deed9f'],[],
032.html,Binance Will List Perpetual Protocol (PERP) in the Innovation Zone,2021-03-19 05:53,PERP,['Perpetual Protocol'],[],['0xbc396689893d065f41bc2c6ecbee5e0085233447'],[],
036.html,Binance Will List Linear (LINA) in the Innovation Zone. Purchase LINA Tokens with BNB at a 30% Discount Prior to Trading Using the Launchpad Subscription Format!,2021-03-18 05:00,LINA,"['Linear', 'Linear (BSC)']",['0x762539b45a1dcce3d36d080f74d1aed37844b878'],['0x3e9bc21c9b189c09df3ef1b824798658d5011937'],[],
038.html,Binance Will List Beefy.Finance (BIFI) in the Innovation Zone,2021-03-16 06:30,BIFI,['Beefy.Finance'],['0xca3f508b8e4dd382ee878a314789373d80a5190a'],[],[],
043.html,Binance Will List Dego Finance (DEGO) in the Innovation Zone. Purchase DEGO Tokens with BNB at a 40% Discount Prior to Trading Using the Launchpad Subscription Format!,2021-03-10 05:00,DEGO,['Dego Finance'],['0x3fda9383a84c05ec8f7630fe10adf1fac13241cc'],['0x88ef27e69108b2633f8e1c184cc37940a075cc02'],[],
044.html,"Introducing My Neighbor Alice (ALICE) on Binance Launchpool! Farm ALICE By Staking BNB, BUSD & CHR Tokens",2021-03-09 11:00,ALICE,['My Neighbor Alice'],['0xac51066d7bec65dc4589368da368b212745d63e8'],['0xac51066d7bec65dc4589368da368b212745d63e8'],[],
047.html,Binance Will List Marlin (POND) in the Innovation Zone,2021-03-09 06:00,POND,['Marlin'],[],['0x57b946008913b82e4df85f501cbaed910e58d26c'],[],
048.html,Binance Will List MANTRA DAO (OM) in the Innovation Zone,2021-03-08 07:00,OM,['MANTRA DAO'],[],['0x3593d125a4f7849a1b059e64f4517a86dd60c95d'],[],
052.html,Binance Will List Stafi (FIS) in the Innovation Zone,2021-03-03 06:00,FIS,['Stafi'],[],['0xef3a930e1ffffacd2fc13434ac81bd278b0ecc8d'],[],
055.html,Binance Will List Badger DAO (BADGER) in the Innovation Zone,2021-03-02 06:00,BADGER,['Badger DAO'],[],['0x3472a5a71965499acd81997a54bba8d852c6e53d'],[],
058.html,Binance Will List Terra Virtua (TVK) in the Innovation Zone,2021-02-26 06:26,TVK,['Terra Virtua Kolect'],[],['0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988'],[],
060.html,Binance Will List Phala Network (PHA) in the Innovation Zone,2021-02-25 06:30,PHA,['Phala Network'],[],['0x6c5ba91642f10282b576d91922ae6448c9d52f4e'],[],
063.html,Binance Will List AC Milan Fan Token (ACM). Purchase ACM Tokens with BNB at a 25% Discount Prior to Trading Using the Launchpad Subscription Format!,2021-02-24 05:01,ACM,['AC Milan Fan Token'],[],[],[],
