announcement,title,announcement_time,symbols,token_names,bep20_contract,erc20_contract,bep2_contract
001.html,Margin Trading for SOL & PUNDIX Enabled on Binance,2021-04-21 12:45,[],[],[],[],[]
002.html,Binance Completes the FC Barcelona Fan Token Discount Sale and Will Open Trading for BAR,2021-04-21 11:00,[],[],[],[],[]
004.html,Binance Futures Will Launch USDT-Margined DGB Perpetual Contracts with Up to 25X Leverage,2021-04-20 09:03,[],[],[],[],[]
006.html,"Binance Adds BTG/BUSD, BTG/USDT &  HOT/BUSD Trading Pairs",2021-04-16 04:57,[],[],[],[],[]
007.html,Binance Will Open Trading for Coinbase Stock Token (COIN),2021-04-15 16:35,[],[],[],[],[]
008.html,Binance Will List the Coinbase Stock Token,2021-04-14 07:43,[],[],[],[],[]
009.html,DREP & TKO Enabled on Binance Isolated Margin,2021-04-13 10:29,[],[],[],[],[]
010.html,"Binance Launches Zero-Commission, Tradable Stock Tokens",2021-04-12 13:00,[],[],[],[],[]
011.html,Binance Futures: New Listings This Week (2021-04-12),2021-04-12 06:21,[],[],[],[],[]
012.html,Binance Futures Will Launch USDT-Margined NKN Perpetual Contracts with Up to 25X Leverage,2021-04-09 05:27,[],[],[],[],[]
013.html,BTCST & WIN Enabled on Binance Isolated Margin,2021-04-08 09:05,[],[],[],[],[]
014.html,Binance Completes the Tokocrypto Subscription Launchpad and Will Open Trading for TKO,2021-04-07 11:00,[],[],[],[],[]
015.html,Subscription for the Tokocrypto (TKO) Token Sale on Binance Launchpad Is Now Open,2021-04-07 06:00,['TKO'],['Tokocrypto'],['0x9f589e3eabe42ebc94a44727b3f3531c0c877809'],[],[]
017.html,Cross Margin Trading for BTT & KSM Enabled on Binance,2021-04-06 09:01,[],[],[],[],[]
018.html,New Listings This Week and Updates on Leverage and Margin Tiers of Binance Futures Contracts,2021-04-06 06:27,[],[],[],[],[]
020.html,Margin Trading for KAVA  & SUPER Enabled on Binance,2021-04-01 10:29,[],[],[],[],[]
021.html,Binance Futures Will Launch USDT-Margined OGN Perpetual Contracts with Up to 25X Leverage,2021-04-01 06:46,[],[],[],[],[]
022.html,Binance Futures Will Launch USDT-Margined MTL Perpetual Contracts with Up to 25X Leverage,2021-03-31 06:15,[],[],[],[],[]
023.html,Cross Margin Trading for CAKE Enabled on Binance,2021-03-30 10:52,[],[],[],[],[]
026.html,Binance Futures: New Listings This Week (2021-03-29),2021-03-29 05:55,[],[],[],[],[]
028.html,Binance Futures Will Launch USDT-Margined DENT Perpetual Contracts with Up to 25X Leverage,2021-03-24 03:41,[],[],[],[],[]
029.html,"Margin Trading for CHZ, COS & LINA Enabled on Binance",2021-03-23 08:59,[],[],[],[],[]
031.html,Binance Futures: New Listings This Week (2021-03-22),2021-03-22 05:26,[],[],[],[],[]
033.html,Binance Futures Will Launch USDT-Margined LINA Perpetual Contracts with Up to 25X Leverage,2021-03-19 04:55,[],[],[],[],[]
034.html,Binance Completes the Linear Discount Sale and Will Open Trading for LINA,2021-03-18 11:00,[],[],[],[],[]
035.html,"ALICE, DEGO, FRONT, MBL, OM & POND Enabled on Binance Isolated Margin",2021-03-18 08:33,[],[],[],[],[]
037.html,Binance Futures Will Launch USDT-Margined ONE Perpetual Contracts with Up to 25X Leverage,2021-03-17 08:19,[],[],[],[],[]
039.html,Binance Futures Will Launch USDT-Margined ALICE Perpetual Contracts with Up to 25X Leverage,2021-03-16 03:00,[],[],[],[],[]
040.html,Binance Futures: New Listings This Week (2021-03-15),2021-03-15 06:05,[],[],[],[],[]
041.html,Binance Futures Will Launch USDT-Margined CHR Perpetual Contracts with Up to 25X Leverage,2021-03-12 04:51,[],[],[],[],[]
042.html,Binance Completes the Dego Finance Discount Sale and Will Open Trading for DEGO,2021-03-10 10:00,[],[],[],[],[]
045.html,"AUDIO, DREP and PERL Enabled on Binance Isolated Margin",2021-03-09 10:05,[],[],[],[],[]
046.html,Binance Futures Will Launch USDT-Margined COTI Perpetual Contracts with Up to 25X Leverage,2021-03-09 08:48,[],[],[],[],[]
